ResourceAgencyNum,PublicName,AlternateName,OfficialName,TaxonomyLevelName,ParentAgency,ParentAgencyNum,RecordOwner,UniqueIDPriorSystem,MailingAttentionName,MailingAddress1,MailingAddress2,MailingCity,MailingStateProvince,MailingPostalCode,MailingCountry,MailingAddressIsPrivate,PhysicalAddress1,PhysicalAddress2,PhysicalCity,PhysicalCounty,PhysicalStateProvince,PhysicalPostalCode,PhysicalCountry,PhysicalAddressIsPrivate,OtherAddress1,OtherAddress2,OtherCity,OtherCounty,OtherStateProvince,OtherPostalCode,OtherCountry,Latitude,Longitude,HoursOfOperation,Phone1Number,Phone1Name,Phone1Description,Phone1IsPrivate,Phone1Type,Phone2Number,Phone2Name,Phone2Description,Phone2IsPrivate,Phone2Type,Phone3Number,Phone3Name,Phone3Description,Phone3IsPrivate,Phone3Type,Phone4Number,Phone4Name,Phone4Description,Phone4IsPrivate,Phone4Type,Phone5Number,Phone5Name,Phone5Description,Phone5IsPrivate,Phone5Type,PhoneFax,PhoneFaxDescription,PhoneFaxIsPrivate,PhoneTTY,PhoneTTYDescription,PhoneTTYIsPrivate,PhoneTollFree,PhoneTollFreeDescription,PhoneTollFreeIsPrivate,PhoneNumberHotline,PhoneNumberHotlineDescription,PhoneNumberHotlineIsPrivate,PhoneNumberBusinessLine,PhoneNumberBusinessLineDescription,PhoneNumberBusinessLineIsPrivate,PhoneNumberOutOfArea,PhoneNumberOutOfAreaDescription,PhoneNumberOutOfAreaIsPrivate,PhoneNumberAfterHours,PhoneNumberAfterHoursDescription,PhoneNumberAfterHoursIsPrivate,EmailAddressMain,WebsiteAddress,AgencyStatus,AgencyClassification,AgencyDescription,SearchHints,CoverageArea,CoverageAreaText,Eligibility,EligibilityAdult,EligibilityChild,EligibilityFamily,EligibilityFemale,EligibilityMale,EligibilityTeen,SeniorWorkerName,SeniorWorkerTitle,SeniorWorkerEmailAddress,SeniorWorkerPhoneNumber,SeniorWorkerIsPrivate,MainContactName,MainContactTitle,MainContactEmailAddress,MainContactPhoneNumber,MainContactType,MainContactIsPrivate,LicenseAccreditation,IRSStatus,FEIN,YearIncorporated,AnnualBudgetTotal,LegalStatus,SourceOfFunds,ExcludeFromWebsite,ExcludeFromDirectory,DisabilitiesAccess,PhysicalLocationDescription,BusServiceAccess,PublicAccessTransportation,FeeStructureSource,ApplicationProcess,ResourceInfo,DocumentsRequired,LanguagesOffered,LanguagesOfferedList,AvailabilityNumberOfTimes,AvailabilityFrequency,ServiceNotAlwaysAvailability,CapacityType,ServiceCapacity,NormalWaitTime,AvailabilityPeriod,TemporaryMessage,TemporaryMessageAppears,TemporaryMessageExpires,EnteredOn,UpdatedOn,MadeInactiveOn,InternalNotes,InternalNotesForEditorsAndViewers,HighlightedResource,LastVerifiedOn,LastVerifiedByName,LastVerifiedByTitle,LastVerifiedByPhoneNumber,LastVerifiedByEmailAddress,LastVerificationApprovedBy,AvailableForDirectory,AvailableForReferral,AvailableForResearch,PreferredProvider,ConnectsToSiteNum,ConnectsToProgramNum,LanguageOfRecord,CurrentWorkflowStepCode,Categories,TaxonomyTerm,TaxonomyTerms,TaxonomyTermsNotDeactivated,TaxonomyCodes,Coverage,Hours,Custom_rqa,Max Of rowid,Tax
10596470,611,,,Agency,611,0,,Agency12507,,,,,,,United States,,,,San Francisco,San Francisco,CA,94105,United States,,,,,,,,,37.788462,-122.394608,,611,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,www.dial611.com,Active,Other,Provides landline and cellular telephone customer service; services vary according to service provider,10596470,,,,,,,,,,,,,,,,,,,,,,,,,,Private Practice,Fees;,No,No,Not necessary for service;,,Not necessary for service,,,,,,,,,,,,,,,,,,3/7/12,3/16/12,,"3/7/2012 Note that the www.dial611.com website is provided by a company called CornerWorld based in Dallas, TX. However, they don't provide the 611 service itself, so there is no contact information included in this record.",,,,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,66,Telephone Service Connection/Repair
10599667,150 OTIS STREET RESOURCE CENTER,,,Agency,150 OTIS STREET RESOURCE CENTER,0,,Agency4185,,,,,,,United States,,150 Otis Street,,San Francisco,San Francisco,CA,94103,United States,,,,,,,,,37.773969,-122.410448,,415-557-6338,Alternate Main,,,,415-557-6339,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inactive,Nonprofit (501(c)(3)),Offers a storage space for homeless individuals to store their belongings,10599667,,,,,,,,,,Ms. Jones,Executive Director,,,,Briana Moore,Shelter Director,,415-558-2848,,,,,,,,Nonprofit - Incorporated,,No,No,Restroom accessible; All floors accessible; Building entrance accessible;,,"MUNI- 14 Mission, 47 Van Ness, 49  Van Ness-Mission",,,,,,,,,,,,,,,,,,4/19/07,9/10/10,,,,,8/9/07,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,9,Men
10596507,30TH STREET SENIOR CENTER,,,Agency,30TH STREET SENIOR CENTER,0,,Agency12556,,,,,,,United States,,"225 30th Street, 3rd Floor",,San Francisco,San Francisco,CA,94131,United States,,,,,,,,,37.743821,-122.440008,,415-550-2210,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,415-647-6332,,,,,,,,,,,,,,,,,,30thStSeniorServices@onlok.org,www.onlok.org/30thsite/index.asp,Active,,,10596507,,,,,,,,,,,,,,,,,,,,,,,,,,Nonprofit - Unincorporated,,No,No,,,,,,,,,,,,,,,,,,,,,5/11/12,5/11/12,,,,,,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,38,Nutrition Education
10595689,350 JONES STREET,,,Agency,350 JONES STREET,0,,Agency11466,,,,,,,United States,,350 Jones Street,,San Francisco,San Francisco,CA,941022605,United States,,,,,,,,,37.779805,-122.417362,,415-921-1978,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://sfhsa.org/82.htm,Inactive,,A storage facility for household goods.,10595689,,,,,,,,,,,,,,,Shranda Aaron,Storage Manager,,,,,,,,,,Nonprofit - Unincorporated,,No,No,,,"MUNI - F, N-OWL, 9L, 16X, K-OWL, L-OWL, 71L, 38L, 2, 3, 5, 6, 9, 21, 31, 38, 71",,,,,,,,,,,,,,,,,,9/15/10,9/15/10,,,,,,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,39,Household Goods Storage
10596466,3RD STREET YOUTH CENTER AND CLINIC,,,Agency,3RD STREET YOUTH CENTER AND CLINIC,0,,Agency12503,,,,,,,United States,,5190 - 3rd Street,,San Francisco,San Francisco,CA,94124,United States,,,,,,,,,37.733639,-122.390267,,415-822-1707,Main,,,,,,,,,,,,,,,,,,,,,,,,415-822-1723,,,,,,,,,,,,,,,,,,,,,3rdstyouth@gmail.com,www.3rdstyouth.org,Active,Nonprofit (501(c)(3)),A youth clinic offers comprehensive health care including physical and sexual health,10596466,,,,,,,,,,Sharon Papo,Director,sharon@3rdstyouth.org,,,Darrell Davis,Program Coordinator,Darrell@3rdstyouth.org,,,,,,,,,Nonprofit - Incorporated,Donations; Independent Fund Raising;,No,No,Building entrance accessible; Restroom accessible;,,"MUNI - 23 Monterey, 24 Divisadero, T Third Street",,,,,,,,,,,,,,,,,,3/7/12,4/19/12,,,,,3/7/12,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,64,Youth
10599665,7TH AVENUE SENIOR CENTER,,,Agency,7TH AVENUE SENIOR CENTER,0,,Agency4183,,,,,,,United States,,1329 - 7th Avenue,,San Francisco,San Francisco,CA,94122,United States,,,,,,,,,37.761523,-122.480944,,415-239-3000,Main,,,,,,,,,,,,,,,,,,,,,,,,415-664-4017,,,,,,,,,,,,,,,,,,,,,,www.seventhavenuechurch.org,Active,City,Offers a senior center in collaboration with City College of San Francisco and the 7th Avenue Presbyterian Church,10599665,,,,,,,,,,Shelly Glazer,Director,,415239300,,,,,,,,,,,,,Government - City,City;,Yes,No,Building entrance accessible; Restroom accessible;,7th Avenue Presbyterian Church,"MUNI - N Judah, 6 Parnassus, 43 Masonic",,,,,,,,,,,,,,,,,,4/18/07,7/19/11,,"Disaster survey -  needs to consult with the Church personnel5/13/11 Survey updated ,email sent to Church Administrator, Mark McBeth. rt",,,,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,67,Senior Centers
10595116,A HOME AWAY FROM HOMELESSNESS,,,Agency,A HOME AWAY FROM HOMELESSNESS,0,,Agency1,,,,,,,United States,No,Fort Mason Building # 9,,San Francisco,San Francisco,CA,94123,United States,No,,,,,CA,,United States,37.800078,-122.434904,,415-561-5533,Main,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,415-561-5535,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,info@homeaway.org,www.homeaway.org,Active,Nonprofit (501(c)(3)),"Provides educational, social and recreational opportunities for children of homeless and formerly homeless families",10595116,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Jeanie Kortum,Executive Director,jeanie@homeaway.org,,No,Sandra Neiman,School House Director,sandra@homeaway.org,415-561-4621,,No,,None or unknown,,,,Nonprofit - Incorporated,Donations; Independent Fund Raising; Grants; United Way; City;,No,No,Building entrance accessible; Restroom accessible; Special parking; Varies according to location;,,"Muni: 10 Townsend, 19 Polk, 30 Stockton, 47 Van Ness, 49 Van Ness-Mission;Golden Gate Transit routes 2, 4, 8, 18, 24, 26, 27, 38, 44, 54, 56, 58, 72, 74, 76",,,,,,,,,,,,,,,,,,11/29/99,2/26/14,,,,FALSE,4/25/11,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,75,Homeless Youth
10598449,A MINER MIRACLE,,,Agency,A MINER MIRACLE,0,,Agency3,,,,,,,United States,,441 Sutter Street,,San Francisco,San Francisco,CA,94108,United States,,,,,,,,,37.79203,-122.406849,,415-217-7230,Main,,,,,,,,,,,,,,,,,,,,,,,,415-217-7235,,,,,,,,,,,,,,,,,,,,,info@aminermiracle.org,www.aminermiracle.org,Active,Nonprofit (501(c)(3)),Operates a community thrift store and a program that offers professional clothing to low-income people transitioning into the work place,10598449,,,,,,,,,,Kathy Miner,Executive Director,kathy@aminermiracle.org,,,Beth Cragun,Associate Director,program@aminermiracle.org,,,,,,,,,Nonprofit - Incorporated,City; Fees; Donations; Independent Fund Raising; Grants;,No,No,Building entrance accessible; Restroom accessible; Special parking; All floors accessible;,,MUNI - All Market Street Lines; BART - Powell Street Station,,,,,,,,,,,,,,,,,,5/19/05,5/14/12,,,,,8/17/09,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,77,Work Clothing
10600842,ACCESS INSTITUTE FOR PSYCHOLOGICAL SERVICES,,,Agency,ACCESS INSTITUTE FOR PSYCHOLOGICAL SERVICES,0,,Agency5493,,,,,,,United States,,"110 Gough Street, Suite 301",,San Francisco,San Francisco,CA,94102,United States,,,,,,,,,37.779805,-122.417362,,415-861-5449,Main,,,,,,,,,,,,,,,,,,,,,,,,415-861-3252,,,,,,,,,,,,,,,,,,,,,info@accessinst.org,www.accessinst.org,Active,Nonprofit (501(c)(3)),"Provides brief or long term outpatient mental health care for low income adults and children and a clinical traning program for therapist interns. Services include psychotherapy, psychological testing and medication management",10600842,,,,,,,,,,"Bart Magee, Ph.D.",Executive Director,bart@accessinst.org,415-861-5449 ext. 302,,"Abigail Levinson Marks, Ph.D.",Director of Child Services,abigail@accessinst.org,415-861-5449 ext. 339,,,,,,,,Nonprofit - Incorporated,Independent Fund Raising; Fees; Donations;,No,No,Building entrance accessible; Restroom accessible; All floors accessible;,,"MUNI: F Market, J Church, K Ingleside, L Taraval, M Ocean View, N Judah, 6 Parnassus, 21 Hayes, 47 Van Ness, 49 Van Ness-Mission, 71 Haight-Noriega",,,,,,,,,,,,,,,,,,12/30/08,10/4/12,,,,,10/4/12,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,154,Mental Health Counselors
10596202,ACCESS NOW COMPUTER HELP DAYS,,,Agency,ACCESS NOW COMPUTER HELP DAYS,0,,Agency12122,,,,,,,United States,No,,,San Francisco,San Francisco,CA,94101,United States,No,,,,,CA,,United States,37.77501,-122.41826,,415-786-9935,Main,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,kehgray@gmail.com,www.computerhelpdays.org,Active,,"Offers a free one day training, advice, and technical support events created to increase access to computers and the resources of the Internet in low-income and underserved communities",10596202,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,No,Kari Gray,Contact Person,kehgray@gmail.com,415-786-9935,,No,,None or unknown,,,,Nonprofit - Unincorporated,Donations; Grants;,No,No,Varies according to location;,,Varies according to location,,,,,,,,,,,,,,,,,,3/24/11,7/24/13,,Service is not offered regularly. Must check calendar of events,,FALSE,,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,157,Computer Literacy Volunteer Opportunities
