Agency Name,Program Name,Strategy,Lead Agency Address,Lead Agency District,Lead Agency Zip,Site Name,Site Address,Site Zip,Site Phone,Site District,Site Location,Site School,0-5,'6-13,14-17,Parent,18-21,22-25,18-24,English,Spanish,Mandarin,Cantonese,Korean,Vietnamese,Russian,Filipino (Tagalog),Language Other
826 Valencia,After-School Tutoring,Specialized K-8,826 Valencia,Unassigned,94110,826 Valencia,826 Valencia Street,94110,415-642-5905,8,Non-profit's owned or leased space (not faith-based),,,X,X,X,,,,X,X,,,,,,,
ABADA-Capoeira San Francisco,Reaching All Youth (RAY) Project,Specialized K-8,3221 22nd Street,District 9,94110,ABAD́-Capoeira SF Capoeira Arts Center,3221 22nd Street,94110,4152060650,9,Non-profit's owned or leased space (not faith-based),,X,X,X,,,,,X,X,,,,,,,"Portugese, French"
African American Art & Culture Complex,African American Art & Culture Complex Specialized Specialized Teen,Specialized Teen,762 Fulton St,District 5,94102,Project Level,762 Fulton St,94102,415-921-8382,5,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,,,,,,
African American Art & Culture Complex,K-8 Specialized Program,Specialized K-8,762 Fulton Street,District 5,94102,AAACC,762 Fulton St,94102,415-922-2049,5,Non-profit's owned or leased space (not faith-based),,X,X,X,,,,,X,,,,,,,,
After School Enrichment Program,Summer ExCEL @ Webster ES,EXCEL Match Summer,2017 Mission St.,District 9,94110,Webster Elementary School,465 Missouri St,94107,(415) 695-5787,10,Public School,"Webster, Daniel Elementary School (K-5)",,X,,,,,,X,X,,,,,,,
After School Enrichment Program,SY EXCEL & Scholarship @ McKinley Elementary School,ExCEL Match School Year,1025 14th St.,District 8,94114,McKinley Elementary School,1025 14th St.,94114,(415) 863-2737,8,Public School,McKinley Elementary School (K-5),,X,,,,,,X,X,,,,,,,
After School Enrichment Program,SY EXCEL @ Webster Elementary School,ExCEL Match School Year,2017 Mission St.,District 8,94110,Webster Elementary School,465 Missouri St.,94107,(415) 813-8020,10,Public School,"Webster, Daniel Elementary School (K-5)",,X,,,,,,X,X,,,,,,,
Aim High for High School,Aim High @ Gateway,Comprehensive K-8 Summer Learning,2030 Harrison Street,District 9,94110,Aim High @ Gateway,1430 Scott Street,94115,415-749-3600,5,Public School,Gateway Middle School (6-8),,X,X,,,,,X,X,X,X,,X,,X,
Aim High for High School,Aim High @ MLK,Comprehensive K-8 Summer Learning,2030 Harrison Street,District 9,94110,Aim High @ MLK,350 Girard Street,94134,415-330-1500,9,Public School,"King, Dr. Martin Luther, Jr. Middle School (6-8)",,X,X,,,,,X,X,X,X,,X,,X,
Aim High for High School,Aim High @ SF Community School,Comprehensive K-8 Summer Learning,2030 Harrison Street,District 10,94110,"Aim High/Excelsior (SF Community, now at City Arts and Technology High School)",325 La Grande Ave.,94112,415-551-2301,11,Other,S.F. Community (K-8),,X,X,,,,,X,X,X,X,,X,,X,
America SCORES Bay Area,America SCORES,Specialized K-8_Assigned,1610 Harrison Street,Unassigned,94103,Sanchez Elementary School,325 Sanchez Street,94114,(415) 241-6380,8,Public School,Sanchez Elementary School (K-5),,X,,,,,,X,X,,,,,,,
America SCORES Bay Area,America SCORES,Specialized K-8_Assigned,1610 Harrison Street,Unassigned,94103,ER Taylor Elementary School,423 Burrows Street,94134,(415) 330-1530,9,Public School,"Taylor, E.R. Elementary School (K-5)",,X,,,,,,X,X,X,,,,,,
American Conservatory Theater (A.C.T.),Theater Arts as a Tool for Change,Specialized Teen,"30 Grant Avenue, 6th Floor",District 3,94108,Ida B. Wells High School,1099 Hayes Street,94117,415.241.6315,5,Public School,"Wells, Ida B. High School (9-12)",,,X,,,,,X,X,X,X,X,X,X,X,"Thai, Cambodian (Khmer)"
American Friends Service Committee,67 Suenos San Francisco,Youth Led Organizing,65 Ninth Street,District 9,94103,American Friends Service Committee SF,65 Ninth St.,94103,415- 565-0201,9,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,
APA Family Support Services - SCDC,Fiscal Sponsorship for SCDC,Miscellaneous,10 Notthingham Place,Unassigned,94133,Samoan Community Development Center,2055 Sunnydale Avenue #100,94134,4158411086,10,Non-profit's owned or leased space (not faith-based),,,X,X,X,,,,X,,,,,,,,Cambodian
APA Family Support Services - SCDC,PIYA - After School,Comprehensive K-8 Community-Based Afterschool,2055 Sunnydale Avenue,District 10,94134,Samoan Community Development Center,2055 Sunnydale Avenue,94124,4158411086,10,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,,,,,,,,Samoan
APA Family Support Services - SCDC,PIYA - Summer,Comprehensive K-8 Summer Learning,2055 Sunnydale Avenue,District 10,94134,Samoan Community Development Center,2055 Sunnydale Avenue,94134,415-841-1086,10,Non-profit's owned or leased space (not faith-based),,X,X,X,,,,,X,,,,,,,,Samoan
APA Family Support Services - SCDC,Samoan Case Management,Aftercare/ Reentry,2055 Sunnydale Avenue,Unassigned,94134,Samoan Community Development Center,2055 Sunnydale Avenu,94134,415-841-1086,10,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,,,,,,,,Samoan
