Name of Service or Product,Description,Organization Name,Organization Address,Resource Address,URL,How to Join?,Best Contact,Comments,Demographic Requirements,Languages Offered,Type of Resource,Topic covered: Budgeting,Topic covered: Credit Counseling,Topic covered: Foreclosure,Topic covered: Homeownership,Topic covered: Saving for Education,Topic covered: Small Business,Other Topics,Comments
"The name of your resource. Please feel free to provide multiple resources by filling in multiple columns. Please provide all resources you would like Smart Money visitors to be connected to. Ex: First Time Homebuyer Program, Revolving Loan Fund, One-on-one counseling etc.","In a few sentences, please describe what your resource is and what it can offer clients.",The name of your organization.,The full address of your organization.,"If different than organization address, the full address of where this resource is located.",The web address where we can find more information about your resource.,"Please describe how someone can access your resource. Ex: Walk-ins welcome, call to schedule an appointment, complete the application online etc.","If not provided above, who's the best person to contact (if there is one person) for more information on this resource? Please provide their full name, phone number and/or e-mail address",Any comments you have on your responses to the above fields.,"Any requirements clients must meet in order to access your resouce. Ex: Female only, over 18 years old, income is greater than/less than x-amount etc.",All languages this resource is offered in.,"Classify what your resource is - is your resource a product or program or other? Ex: Small class, one-on-one counseling, financial product etc.","Does this resource cover this topic? Please respond with ""Yes"" or ""No"".","Does this resource cover this topic? Please respond with ""Yes"" or ""No"".","Does this resource cover this topic? Please respond with ""Yes"" or ""No"".","Does this resource cover this topic? Please respond with ""Yes"" or ""No"".","Does this resource cover this topic? Please respond with ""Yes"" or ""No"".","Does this resource cover this topic? Please respond with ""Yes"" or ""No"".",Please provide any other topics this resource covers. ,Any comments you have on your responses to the above fields.
InfoLine,Our InfoLine service provides immediate access to a financial counselor by phone. Our counselors can answer a wide variety of financial and credit related questions and calls can last anywhere from 5 to 30 minuted depending on your question and the amount of information you are looking for.,BALANCE,"595 Market Street, 16th Floor
San Francisco, CA 94105",,https://www.balancepro.net,Call us at 888-456-2227 or email us at info@balancepro.org,,,18 and over,Spanish or English,One-on-one phone counseling,Yes,Yes,Yes,No,No,Yes,,
Money Management,"At BALANCE, our money management program will offer you a one-on-one counseling with one of our qualified counselors to discuss general money management, credit and housing topics including goal setting, and credit. Each session is goal orriented and results in a written action plan clearly outlining the steps you and your counselor decide to take to establish personal financial control.",BALANCE,"595 Market Street, 16th Floor
San Francisco, CA 94105",,https://www.balancepro.net,Call us at 888-456-2227 or email us at info@balancepro.org to schedule an appointment ,,,18 and over,Spanish or English,One-on-one counseling,Yes,Yes,Yes,Yes,Yes,No,,
Debt Management,"Our Debt Management program is designed to help our clients who are having trouble keeping up with their bills. Our counselors will go over your income, living exspenses, and debt in detail and will offer information and suggestions for dealing with debt issues such as rent or mortgage paymeny, credit card bills, and much more.",BALANCE,"595 Market Street, 16th Floor
San Francisco, CA 94105",,https://www.balancepro.net,Call us at 888-456-2227 or email us at info@balancepro.org to schedule an appointment ,,,18 and over,Spanish or English,One-on-one counseling,Yes,Yes,Yes,No,No,No,,
Credit Report Management,Our Credit Report Review program offers a free or low-cost copy of your credit report and provides a free and confidetial credit report review to ensure you hace the tools necessary to maintain and protect you credit standing.,BALANCE,"595 Market Street, 16th Floor
San Francisco, CA 94105",,https://www.balancepro.net,Go to our website at https://www.balancepro.net for a free or low-cost credit report.,,,18 and over,Spanish or English,One-on-one couseling,No,Yes,No,No,No,No,,
Housing Education,The Housing Education Program at BALANCE will teach our clients how your debt to income ration will affect the amount of money you can borrow and also give an understanding of the mortgage loan process.,BALANCE,"595 Market Street, 16th Floor
San Francisco, CA 94105",,https://www.balancepro.net,Call us at 888-456-2227 or email us at info@balancepro.org to start delveloping your personal plan.,,,18 and over,Spanish or English,One-on-one counseling,Yes,No,No,Yes,No,No,,
Family Financial Fitness Program,"At Brighter Beginnings, each of our individual or family clients will complete a financial assessment form and participate in workshops teaching basic topics such as ""Banking 101"" and setting a budget.",Brighter Beginnings,"2648 International Boulevard
Oakland, CA 94601",,http://www.brighter-beginnings.org,Call our toll free number on information on how to join 1.877.427.7134,,,18 or older,Spanish and English,Workshops and one-on-ones,Yes,No,No,No,No,No,,
Mortgage Help,"At CFPB, we provide free foreclosure help. If you are behind on your mortgage, or having a hard time making 
payments, we want to get you in touch with a HUD approved housing counselor. Your counselor can develop a plan of action for your situation and help you work with your mortgage company, they can help you organize your finances, and understand your mortgage options to find a solution that works for you.",CFPB,"1700 G Street, NW
Washington, D.C. 20552",,http://www.consumerfinance.gov,"Go online to find  a counselor 
near you",800-569-4287,,18 or older,,One-on-one counseling,No,No,Yes,No,No,No,,
First Time Homebuyer Program,"At CDHC, our combination of informational workshops and one-on-one counseling, CDHC's First Time Homebuyer Program will teach you everything from preparing yourself financially to completing the purchase. Individuals who qualify for this program can also apple for the Down Payment Assistance and real estate services which is a 'silent' down payment assistance loan for low income households purchasing in Contra Costa County.",CHDC,"1535-A Fred Jackson Way
Richmond, CA 94801-1525",,http://chdcnr.com,Complete our Homebuyer Program Intake Form which is avialable online.,please call us at (510) 412-9290 x226 or (707) 652-7861 x226.,,"Low-income first time home buyer, 18 and over",Spanish and English,Workshops,Yes,No,No,Yes,No,No,,
Foreclosure intervention and Loan Modification,"Our Foreclosure Intervention and Loan Modification offers counseling to anyone especially those in lower income communities. We offer support on the loan modification process which can be complex and technical, and our counselors have the knowledge and experience to help you get the best possible resolution.",CHDC,"1535-A Fred Jackson Way
Richmond, CA 94801-1526",,http://chdcnr.com,Complete our online intake form and attend the next schedules workshop on Foreclosure Intervention and Mitigation. You can get all the information and the document you will need to bring online,"(510) 412-9290 or 
(707) 652-7861.",,18 and over,Spanish and English,Workshops,No,No,Yes,Yes,No,No,,
Financial Fitness Program,"CHDC offers Financial Fitness education classes with the goal of empowering individuals and families to take control of their money and to set and to achieve personal goals, also to increase their financial security. Everyone one is welcome to enroll is this class regardless of income or where you live. ",CHDC,"1535-A Fred Jackson Way
Richmond, CA 94801-1526",,http://chdcnr.com,Check our online calender for the next Financial Fitness/CC-MATCH orientation near you,"(510) 412-9290 x237,
 or (707) 652-7861 x237.",,18 and over,Spanish and English,Workshops,Yes,No,No,No,No,No,,
Southfield Park Condominium Program,The Southfield Park Condominium Program is an opportunity for families to enjoy the benefits that homeownership brings.,CHOC,"2400 Alhambra Blvd
Sacramento, CA 95817","5030 Business Center Drive, Suite 260
Fairfield, CA 94534",http://www.chochousing.org/,Go online and check the requirements to see if you qualify.,"Alicia Perez
Phone #: (916) 452-5356, ext 227
Email: alicia@nwsac.org",,Household income cannot exeed 120% of the area mean. (Go online to check area mean specifications),,Housing opportunity ,No,No,No,Yes,No,No,,
Hourly Financial Planning,"At Financial Connections we offer an Hourly Financial Planning services which is ideal for individuals and families who need a check-up to determine the progress in meeting financial goals, a second opnion on financial issues, a financial planning road map, and much more. ",Financial Connections ,"2608 Ninth Street #302
Berkeley, CA 94710",,http://www.financialconnections.com,To get started download out questionnaire and brochure for more information,415-924-1091,,18 and over,,one-on-one counseling,Yes,Yes,No,No,No,Yes,,
