name,medical,food,notes,updatedAt,long,phone,hygiene,address,lat,technology,housing
La Casa de las Madres,0,0,Drop-in center for women and families leaving domestic violence.,3/19/14,-122.4194009,Crisis line: 877-503-1850. Teen crisis line: 877-923-0700 (counseling & referrals only). All numbers are 24 hrs & toll free. Call 877-503-1850 anytime for shelter,0,"1663 Mission St., Suite 225 ",37.7712479,0,1
Providence Foundation Family Shelters: First Friendship Family Shelter,0,0,Family shelter,3/19/14,-122.432772,(415) 642-0234,0,501 Steiner St. ,37.773933,0,1
CHANGES: Mission Neighborhood R.C.,0,0,"For a 90-day bed, line up by 7am. For a 1-night bed, apply during the hours listed.",3/24/14,-122.418312,(415) 869-7977,1,165 Capp St.,37.764058,0,0
AIDS Housing Alliance,0,0,Housing resource center,3/19/14,-122.416438,415-552-3242,0,350 Golden Gate Ave.,37.7816532,0,1
Asian Women's Shelter,0,0,"Shelter for battered women, specifically, non-English speaking Asian populations.",3/19/14,-122.422619,415-751-7110,0,"3543 18th St., #19",37.76142,0,1
St. Vincent de Paul Society - Riley Center,0,0,Shelter for battered women,3/19/14,-122.4108403,415-552-2943,0,1175 Howard St.,37.7767023,0,1
Lark-Inn for Youth,0,0,Emergency youth shelter,3/19/14,-122.4203398,"(415) 749-2968 or 800-447-8223 (toll-free, 24 hrs)",0,869 Ellis St. ,37.7838239,0,1
Hamilton Family Emergency Shelter,0,0,Emergency Family Shelter,3/19/14,-122.414974,(415) 292-5228,0,260 Golden Gate Ave.,37.782011,0,1
Central City Hospitality House for Men - Men's Case Management Dormitory,0,0,Case Management Dormitory,3/19/14,-122.413739,415-749-2103,0,146 Leavenworth St.,37.782538,0,1
"Community Awareness & Treatment Services, Inc. (CATS) - A Womanâ€™s Place",0,0,"The only 24-hour supportive shelter in San Francisco offering long-term treatment programs to women and transgender women with special needs due to mental disabilities, sexual or domestic violence, drug and alcohol abuse, and HIV+/AIDS-related issues.   Special programs include a senior shelter program, an 18-month transitional housing program, the CARE program primarily for African American women and transgender women with HIV, and a substance abuse treatment program.",3/19/14,-122.408218,415-487-2140,0,1049 Howard St. ,37.778576,0,1
Episcopal Community Services - Next Door Shelter,0,0,24-hour shelter for adults,3/19/14,-122.4199258,415-292-2180,0,1001 Polk St.,37.7861525,0,1
Huckleberry House,0,0,Shelter for youths aged 11-17 who are not on probation.,3/19/14,-122.4420383,(415) 621-2929 (24 hrs),0,1292 Page St. ,37.7717829,0,1
Compass Connecting Point,0,0,Centralized telephone intake for 4 family shelters,3/19/14,-122.4099372,415-442-5134,0,"995 Market St., 6th Floor",37.7823309,0,1
City Team Ministries,0,0,Multi-service center,3/19/14,-122.4077158,(415) 861-8688,0,164 6th St.,37.7800185,0,1
Larkin Street Youth Services: Diamond Youth Shelter ,0,0,Youth shelter and drop-in center,3/19/14,-122.444225,"800-669-6196 (toll-free, 24 hrs.) or 567-1020 (Mâ€“F 6pm-8am, Sa-Su 8pm-8am)",0,536 Central Ave. ,37.774724,0,1
Raphael House,0,0,Family shelter,3/19/14,-122.417695,415-474-4621,0,1065 Sutter St.,37.787763,0,1
CHANGES: Glide Walk-In Center,0,0,"For a 90-day bed line up by 7am. For a 1-night bed, apply during the hours listed.",3/24/14,-122.4114983,(415) 674-6012,0,330 Ellis St. ,37.785151,0,1
CHANGES: MSC South,0,0,Emergency shelter for single adults,3/24/14,-122.3998627,(415) 597-7960,1,525 5th St. ,37.7776003,0,0
Providence Foundation Family Shelters: Providence Family Shelter,0,0,Family shelter,3/19/14,-122.389619,1-855-234-2667,0,1601 McKinnon Ave.,37.735808,0,1
CHANGES: Bayview Hunters Point R.C.,0,0,"For 90-day shelter bed line up by 7am.  For 1-night emergency bed, apply during the hours listed.",3/24/14,-122.3886269,415-671-6012,1,2111 Jennings St.,37.7268119,0,0
"Salvation Army, Mission",0,1,Food pantry,3/19/14,-122.4224754,(415) 648-0260,0,156 Valencia St.,37.7705591,0,0
Arriba Juntos,0,0,Multi-service center,3/19/14,-122.420477,(415) 487-3240,0,1850 Mission St.,37.767348,1,0
First Friendship Institutional Baptist Church,0,1,Food pantry,3/19/14,-122.432772,(415) 431-4775,0,501 Steiner St.,37.773933,0,0
Food Not Bombs (16th St. BART),0,1,Free meal,3/19/14,-122.4197149,(415) 484-3288,0,16th St. & Mission St. ,37.765053,0,0
Food Assistance Service Program,0,1,Assistance in applying for CalFresh (food stamps),3/19/14,-122.413521,(415) 558-1001,0,1235 Mission St.,37.77666,0,0
Third Baptist Church,0,1,Free meal,3/19/14,-122.434631,415-346-4426,0,1399 McAllister St.,37.7779219,0,0
Episcopal Community Services - Canon Kip Senior Center,0,1,Senior multi-service center,3/19/14,-122.4123417,415-487-3356,0,705 Natoma St.,37.7763202,0,0
Curry Without Worry,0,1,Free meal,3/19/14,-122.4151553,(415) 418-4361,0,Hyde St. & Fulton St.,37.7798005,0,0
Project Open Hand,0,1,Food pantry,3/19/14,-122.4192833,(800) 551-6325,0,730 Polk St.,37.7835988,0,0
