Financial Institution,Branch Name,Address,Phone Numbers,Manager,Hours,Minimum Opening Deposit,Minimum Balance,Monthly Fee,Checks included,Check/Debit Card included,Online Bill Pay,Alternative IDs Accepted as Primary Identification,Open Accounts for customers with ChexSystems History,Remittance products available,Wire Transfers,Money Orders,Offer Financial Education,First Overdraft Fees Waived,Overdraft Fees,Bounced Check Fee
Bank of America,Bayview,5000 3rd St. San Francisco CA 94124,(415) 822-9590,Freda Parker-Love,"Mon-Fri 9-6pm
 Sat 9-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Civic Center,1525 Market St. San Francisco CA 94102,(415)622-5101,Duane Miller,"Mon-Fri 9-6pm
 Sat 9-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Downtown/Union Square,1 Powell St. San Francisco CA 94102,(415) 837-1394,Cathy O'Shea,"Mon-Fri 9-6pm
 Sat 9-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Mission,2701 Mission St. San Francisco CA 94110,(415) 401-1554,Gisela Delgado,"Mon-Fri 9-6pm
 Sat 9-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Mission,3250 Mission St. San Francisco CA 94110,(415) 401-1582,Carlos Avalos,"Monday-Thursday, 9AM-5PM
Friday 9AM-6PM
Saturday 9AM-1PM",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Van Ness,1640 Van Ness Ave. San Francisco CA 94109,(415)622-4452,Dennis Peng,"Mon-Fri 9-6pm
 Sat 10am-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Excelsior,15 Ocean Ave. San Francisco CA 94112,(415)622-3240,Tiffany Jew,"Mon-Fri 9-6pm
 Sat 9-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Portola,2485 San Bruno Ave. San Francisco CA 94066,(415) 715-2885,Joe Kwong,"Mon-Fri 9-6pm
 Sat 9-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Oceanview,5150 Mission St. San Francisco CA 94112,(415)622-4233,Joe Scampini,"Mon-Fri 9-6pm
 Sat 10am-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,Visitation Valley,6 Leland Ave. San Francisco CA 94134,(415) 406-1463,Sandra Gutierrez,"Monday-Thursday, 9AM-5PM
Friday 9AM-6PM
Saturday 10AM-2PM",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,4th & Brannan,501 Brannan St. San Francisco CA 94107,(415) 622-6615,Diana Tse,Mon-Fri 9-6pm,$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,7th & Clement,600 Clement St. San Francisco CA 94118,(415) 622-6730,William Chan,"Monday-Thursday, 9AM-5PM
Friday 9AM-6PM
Saturday 9AM-1PM",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
Bank of America,21st & Irving,1945 Irving St.  San Francisco CA 94122,(415) 622-4863,Robin Cheng,"Mon-Fri 9-6pm
 Sat 9-2pm",$25 ,$0 ,$12 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$35 ,$35 
