"Organization Name", "Address", "Phone", "Fax", "Email", "Website", "Contact", "Age Groups", "Languages Spoken", "Fees", "Service Hours", "Services Provided"
"30th Street Senior Center", "225 30th Street, 3rd Floor, San Francisco, CA 94131",  "(415) 550-2210, TTY: (415) 647-6332","","30thStSeniorServices@onlok.org","www.onlok.org/30thsite","","Seniors and their Families","English, Spanish, Chinese","None","Monday - Saturday, 8:30am - 5:00pm","30th Street Senior Center, one of the largest multi-purpose senior centers in San Francisco, offers five distinct programs. The Activities Program provides a wide variety of educational and fun activities for seniors. The Always Active Program helps seniors improve their health through physical activity and education. The Nutrition Program offers congregate meals and home-delivered meals. The Bilingual Case Management Programs supports seniors who face language barriers, or are unable to access needed care to remain in their homes. A case manager can help coordinate their care with appropriate community services. The Aging and Disability Resource Center (ADRC) provides free information, referrals, and follow-up services for seniors and their family members. Services are provided by the Episcopal Community Services of San Francisco."
"311", "Please visit website for assistance",  "Dial 3-1-1 (within SF only) or (415) 701-2311 TTY: (415) 701-2323","","","www.sf311.org","","All","English, Spanish, Chinese, and more","None","24/7","The City and County of San Francisco established 311 to provide an easy-to-remember telephone number that connects residents, businesses, and visitors to Customer Service Representatives ready to help with general government information and services. Since launching on 3/29/07, 311 has answered over 11,000,000 calls and counting. Their website, www.sf311.org, is a valuable resource for directories."
"7 Tepees Youth Program", "3177 17th Street, San Francisco, CA 94110",  "(415) 522-1550","(415) 552-1551","info@7tepees.org","www.7tepees.org","","6th to 12th graders","Spanish, Cantonese, English","None","After School Program: 3:00pm - 6:00pm","Seven Tepees Youth Program is dedicated to impacting the lives of promising inner-city youth. Their mission is to work with urban youth and foster the skills they need to make lifelong positive choices, while creating their own opportunities for success. The program targets inner-city youth and works with them for a period of seven years, while focusing on social competency, academic skills, health self-esteem, exposure to new options, and increased understanding and appreciation of their natural environment. Seven Tepees has received local and national recognition as an innovative youth program, and serves as a model to other youth service organizations. Seven Tepees runs two youth programs, The Learning Center and College and Career Program. The Learning Center nurtures students from 6th and 12th grade. The College and Career program, launched in 2008, seeks to increase the number of first-generation college students."
"7th Avenue Senior Center", "7th Avenue Presbyterian Church",  "(415) 664-2543","(415) 664-4017","office@seventhavenuechruch.org","www.seventhavenuechruch.org","Shelley Glazer","55 years and older","English","None, but voluntary donation of $.75 for dessert and beverage","Thursday, 10:30am - 2:30pm","7th Avenue Senior Center offers social, recreational and holiday activities, including lectures and discussions, trips, service projects, speakers, musical entertainment and singing, games, and holiday parties."
"7th Avenue Senior Center", "1329 7th Avenue, San Francisco, CA 94122",  "(415) 664-2543","(415) 664-4017","office@seventhavenuechruch.org","www.seventhavenuechruch.org","Shelley Glazer","55 years and older","English","None, but voluntary donation of $.75 for dessert and beverage","Thursday, 10:30am - 2:30pm","7th Avenue Senior Center offers social, recreational and holiday activities, including lectures and discussions, trips, service projects, speakers, musical entertainment and singing, games, and holiday parties."
"A Home Within", "2500 18th Street, San Francisco, CA 94110",  "(888) 898-2249","(415) 621-6548","admin@ahomewithin.org","www.ahomewithin.org","Dr. Toni Heineman","Preschool through young adult, foster children and families","American Sign Language, English, French, German, Spanish","None","By appointment only.","A Home Within seeks to heal the chronic loss experienced by foster children by providing lasting and caring relationships to current and former foster youth. A Home Within improves the lives of foster youth through direct services, professional training, public awareness, and advocacy. Using the "One child. One Therapist. For as long as it takes," formula, children are seen in their therapist's office individually, while each therapist takes responsibility for collaborative work with the youth's caregivers, teachers, and social workers."
"A Mending Angel", "1032 Irving Street, No. 610, San Francisco, CA 94122",  "(415) 681-1000","(415) 681-1010","info@amendingangel.org","donate@amendingangel.org","mending.org","All","","None","Monday - Friday, 8:00am - 5:00pm","A Mending Angel's mission is to permanently change lives by providing one-time, critical needs assistance to low-income families and individuals. A Mending Angel provides critical support in a variety of key areas, including: health, education, housing, and critical outreach. Types of support include grants to families about to be evicted; families in need of emergency medical care; individuals with critical tuition needs; seniors and the disabled for life-saving, critical needs equipment such as emergency medical care supplies; and "at risk" teenagers, young adults and runaways for them to permanently turn their lives around via internships with leading businesses."
"A Miner Miracle", "441 Sutter Street, San Francisco, CA 94108",  "(415) 217-7230","(415) 217-7235","info@aminermiracle.org","www.aminermiracle.org","","Men, Women, Young Adults","English","None","Monday - Saturday, 10:00am - 6:00pm","A Miner Miracle is a San Francisco-based nonprofit organization that provides professional clothing and image counseling to low-income men, women, and young adults seeking employment. The program helps disadvantaged people enter the workplace by educating them on how to present themselves well and with pride. The program provides work-appropriate clothing and grooming services, while teaching enhanced presentation skills, in order to improve employment potential and help build self-esteem."
"ACCESS/Women's Health Rights Coalition", "P.O. Box 3609, Oakland, CA 94609",  "1-800-376-4636, Spanish: 1-888-442-2237","(510) 923-0014","info@accesswhj.org","accesswhj.org","Gabriella Castillo, Program Manager","Women of all ages.","English, Spanish, Additional languages available by interpreter","None","Office & Hotline: Monday - Thursday, 9:00am - 4:00pm; Friday, 9:00am - 1:00pm","Women's Health Rights Coalition offers information and referral services regarding gynecological care, prenatal care, abortion, family planning, infertility, STD testing and treatment, and other healthcare services. The agency also provides community education and policy advocacy, as it refers to reproductive health care and services. In dire circumstances, the agency's Women In Need Fund provides money to pay for hotel rooms and bus tickets when women must travel great distances to find care, and contributes to the cost of abortion so that women can obtain the procedure without delay. The agency also provides overnight housing, child care, and translation assistance."
"Administration for Children and Families Region 9- San Francisco", "90 7th Street, 9th Floor, San Francisco, CA 94103",  "(415) 437-8400","(415) 437-8444","","www.acf.hhs.gov/programs/region9","","All","English, translation available","None","Monday - Friday, 8:30am - 5:00pm","ACF Region 9 is dedicated to promoting and enhancing the economic independence and social well-being of children, families, individuals, and communities. AFC Region 9 is responsible for the program and technical administration of the Temporary Assistance for Needy Families (TANF), child welfare, child support enforcement, child care, and Head Start/Early Head Start programs. AFC Region 9 also assists with activities relating to developmental disabilities, runaway and homeless youth, refugee resettlement, economic and community development, tribal and special initiative activities."
